pts,elo_i,elo_n,win_equiv,opp_pts,opp_elo_i,opp_elo_n,forecast
105,1661.3961,1678.6139,58.609081,83,1556.8398,1539.6221,0.50655663
91,1517.4476,1526.5087,43.870243,85,1662.6598,1653.5988,0.43529928
85,1662.6598,1653.5988,56.411728,91,1517.4476,1526.5087,0.56470072
110,1564.3064,1557.0848,47.038025,115,1457.2307,1464.4523,0.51018131
115,1457.2307,1464.4523,37.374996,110,1564.3064,1557.0848,0.48981869
80,1334.3954,1329.4441,24.243118,82,1427.709,1432.6603,0.50962132
82,1427.709,1432.6603,34.097027,80,1334.3954,1329.4441,0.49037868
98,1460.2958,1453.5,36.238247,101,1503.947,1510.7428,0.58038878
101,1503.947,1510.7428,42.220818,98,1460.2958,1453.5,0.41961122
93,1437.0765,1441.9717,35.049706,90,1302.2244,1297.3292,0.54998875
90,1302.2244,1297.3292,21.53418,93,1437.0765,1441.9717,0.45001125
113,1410.8107,1426.0026,33.420464,105,1678.6139,1663.422,0.2756879
105,1678.6139,1663.422,57.288082,113,1410.8107,1426.0026,0.72431207
114,1533.5068,1542.2924,45.512234,99,1328.7291,1319.9436,0.64637637
99,1328.7291,1319.9436,23.42135,114,1533.5068,1542.2924,0.3536236
97,1464.4523,1457.1664,36.61805,118,1557.0848,1564.3707,0.24807936
118,1557.0848,1564.3707,47.783573,97,1464.4523,1457.1664,0.75192064
91,1492.2382,1483.5948,39.374332,104,1679.2958,1687.9391,0.37727189
104,1679.2958,1687.9391,59.398579,91,1492.2382,1483.5948,0.62272811
96,1471.163,1462.4777,37.169582,99,1431.9517,1440.637,0.69026631
99,1431.9517,1440.637,34.912716,96,1471.163,1462.4777,0.30973369
91,1571.1094,1578.1129,49.176926,79,1548.451,1541.4475,0.66953397
79,1548.451,1541.4475,45.424667,91,1571.1094,1578.1129,0.33046603
89,1474.6312,1468.4148,37.787754,96,1650.8761,1657.0925,0.39200291
96,1650.8761,1657.0925,56.725365,89,1474.6312,1468.4148,0.60799706
112,1642.0652,1645.4587,55.672848,75,1336.1565,1332.7629,0.91186309
75,1336.1565,1332.7629,24.534101,112,1642.0652,1645.4587,0.088136911
107,1425.7063,1420.165,32.830734,112,1586.8196,1592.3608,0.41294688
112,1586.8196,1592.3608,50.60104,107,1425.7063,1420.165,0.58705312
100,1414.9247,1410.4532,31.857473,113,1539.6221,1544.0935,0.21526736
113,1539.6221,1544.0935,45.698784,100,1414.9247,1410.4532,0.78473264
113,1542.2924,1546.6354,45.961712,102,1432.6603,1428.3173,0.76972151
102,1432.6603,1428.3173,33.655224,113,1542.2924,1546.6354,0.23027849
83,1329.4441,1323.8987,23.761421,94,1589.9645,1595.5099,0.28413755
94,1589.9645,1595.5099,50.912655,83,1329.4441,1323.8987,0.71586245
101,1453.5,1446.0737,35.471558,107,1564.3707,1571.797,0.48436087
107,1564.3707,1571.797,48.538765,101,1453.5,1446.0737,0.51563913
94,1457.1664,1449.5699,35.83205,115,1541.4475,1549.0439,0.25715518
115,1541.4475,1549.0439,46.210472,94,1457.1664,1449.5699,0.74284482
111,1426.0026,1412.2377,32.035522,121,1441.9717,1455.7366,0.61862606
121,1441.9717,1455.7366,36.469841,111,1426.0026,1412.2377,0.38137394
100,1468.4148,1453.9008,36.279724,113,1319.9436,1334.4576,0.56930661
113,1319.9436,1334.4576,24.683456,100,1468.4148,1453.9008,0.43069342
93,1332.7629,1329.8839,24.281565,99,1653.5988,1656.4778,0.21904624
99,1653.5988,1656.4778,56.670334,93,1332.7629,1329.8839,0.78095376
82,1526.5087,1534.873,44.74189,81,1687.9391,1679.5747,0.18169367
81,1687.9391,1679.5747,58.691189,82,1526.5087,1534.873,0.81830633
100,1657.0925,1651.903,56.258732,101,1483.5948,1488.7844,0.60422158
101,1483.5948,1488.7844,39.918095,100,1657.0925,1651.903,0.39577839
