game_id,year_id,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,forecast
200704010hou,2007,hou,rockets,83,1626.223,1617.3922,52.918633,uta,jazz,86,1580.7754,1589.6062,0.69788867
200704010hou,2007,uta,jazz,86,1580.7754,1589.6062,50.198677,hou,rockets,83,1626.223,1617.3922,0.30211133
200704010ind,2007,sas,spurs,99,1725.6365,1717.9154,61.720726,ind,pacers,100,1401.6871,1409.4082,0.78400433
200704010ind,2007,ind,pacers,100,1401.6871,1409.4082,31.624624,sas,spurs,99,1725.6365,1717.9154,0.2159957
200704010lal,2007,lal,lakers,126,1478.6219,1489.4489,39.852097,sac,kings,103,1455.0013,1444.1744,0.67075843
200704010lal,2007,sac,kings,103,1455.0013,1444.1744,35.143047,lal,lakers,126,1478.6219,1489.4489,0.32924157
200704010mil,2007,was,wizards,121,1494.3569,1507.3729,41.731873,mil,bucks,107,1397.6115,1384.5955,0.49531651
200704010mil,2007,mil,bucks,107,1397.6115,1384.5955,29.196482,was,wizards,121,1494.3569,1507.3729,0.50468349
200704010orl,2007,min,timberwolves,105,1398.6042,1405.3663,31.223782,orl,magic,104,1466.35,1459.5879,0.27575397
200704010orl,2007,orl,magic,104,1466.35,1459.5879,36.734997,min,timberwolves,105,1398.6042,1405.3663,0.72424603
200704010pho,2007,dal,mavericks,104,1769.9065,1750.0785,64.127281,pho,suns,126,1634.8367,1654.6647,0.55029881
200704010pho,2007,pho,suns,126,1634.8367,1654.6647,56.391174,dal,mavericks,104,1769.9065,1750.0785,0.44970119
200704010sea,2007,den,nuggets,114,1516.7877,1530.0303,44.102661,sea,thunder,103,1469.8571,1456.6145,0.42421556
200704010sea,2007,sea,thunder,103,1469.8571,1456.6145,36.426727,den,nuggets,114,1516.7877,1530.0303,0.57578444
200704010tor,2007,tor,raptors,107,1535.3672,1539.8036,45.119831,cha,hornets,94,1409.1567,1404.7203,0.78620028
200704010tor,2007,cha,hornets,94,1409.1567,1404.7203,31.159897,tor,raptors,107,1535.3672,1539.8036,0.21379972
200704030cha,2007,cha,hornets,122,1404.7203,1421.2607,32.810753,was,wizards,102,1507.3729,1490.8325,0.49618268
200704030cha,2007,was,wizards,102,1507.3729,1490.8325,39.997135,cha,hornets,122,1404.7203,1421.2607,0.50381732
200704030ind,2007,ind,pacers,85,1409.4082,1402.131,30.904341,det,pistons,100,1655.1404,1662.4176,0.30176613
200704030ind,2007,det,pistons,100,1655.1404,1662.4176,57.084564,ind,pacers,85,1409.4082,1402.131,0.69823384
200704030lal,2007,den,nuggets,111,1530.0303,1539.524,45.090805,lal,lakers,105,1489.4489,1479.9551,0.41531384
